Group_ID,Video_Index,Room,Session,Performer,Video_Name
1,1,61285856729002900,61285850754847400,53568543410625400,61285850754847401-53568543410625422r1470845405.m3u8.mp4
1,2,61285856729002900,61285850754847400,53568543410625400,61285850754847401-53568543410625422r1470845472.m3u8.mp4
1,3,61285856729002900,61285850754847400,53568543410625400,61285850754847401-53568543410625422r1470845477.m3u8.mp4
1,4,61285856729002900,61285850754847400,53568543410625400,61285850754847401-53568543410625422r1470845598.m3u8.mp4
1,5,61285856729002900,61285850754847400,53568543410625400,61285850754847401-53568543410625422r1470845823.m3u8.mp4
1,6,61285856729002900,61285850754847400,53568543410625400,61285850754847401-53568543410625422r1470845968.m3u8.mp4
1,7,61285856729002900,61285850754847400,53568543410625400,61285850754847401-53568543410625422r1470846173.m3u8.mp4
1,8,61285856729002900,61285850754847400,53568543410625400,61285850754847401-53568543410625422r1470846729.m3u8.mp4
1,9,61285856729002900,61285850754847400,53568543410625400,61285850754847401-53568543410625422r1470847455.m3u8.mp4
1,10,61285856729002900,61285850754847400,53568543410625400,61285850754847401-53568543410625422r1470847814.m3u8.mp4
2,1,61286026254381900,61286025609090600,51055977402738200,61286025609090654-51055977402738228r1470845488.m3u8.mp4
3,1,61286350362932100,61286346146191900,45566142774776900,61286346146191952-45566142774776906r1470845641.m3u8.mp4
4,1,61286438759986000,61286438037103700,31045571313558700,61286438037103747-31045571313558736r1470845685.m3u8.mp4
5,1,61286518938301300,61286518490141800,51055977402738200,61286518490141808-51055977402738228r1470845724.m3u8.mp4
6,1,61287952993907600,61287951633487400,52159828992205700,61287951633487457-52159828992205772r1470846407.m3u8.mp4
7,1,61288283129672600,61288279198144600,28385471671136300,61288279198144640-28385471671136325r1470846563.m3u8.mp4
8,1,61290823219049400,61290822349361800,49821859146901500,61290822349361864-49821859146901565r1470847776.m3u8.mp4
9,1,61291159528829800,61291159070185000,53782875536890400,61291159070185066-53782875536890474r1470847936.m3u8.mp4
10,1,61292315795673900,61292315072797200,51233916513690300,61292315072797283-51233916513690382r1470848488.m3u8.mp4
11,1,61293841834472400,61293829048771100,52868343920602700,61293829048771181-52868343920602753r1470849209.m3u8.mp4
11,2,61293841834472400,61293829048771100,52868343920602700,61293829048771181-52868343920602753r1470849427.m3u8.mp4
11,3,61293841834472400,61293829048771100,52868343920602700,61293829048771181-52868343920602753r1470850416.m3u8.mp4
12,1,61294819564483500,61294794441241700,53326834294599500,61294794441241748-53326834294599563r1470849670.m3u8.mp4
12,2,61294819564483500,61294794441241700,53326834294599500,61294794441241748-53326834294599563r1470849861.m3u8.mp4
12,3,61294819564483500,61294794441241700,53326834294599500,61294794441241748-53326834294599563r1470850116.m3u8.mp4
12,4,61294819564483500,61294794441241700,53326834294599500,61294794441241748-53326834294599563r1470850127.m3u8.mp4
12,5,61294819564483500,61294794441241700,53326834294599500,61294794441241748-53326834294599563r1470850132.m3u8.mp4
12,6,61294819564483500,61294794441241700,53326834294599500,61294794441241748-53326834294599563r1470850939.m3u8.mp4
12,7,61294819564483500,61294794441241700,53326834294599500,61294794441241748-53326834294599563r1470850986.m3u8.mp4
13,1,61295615880360900,61295611091104300,45566142774776900,61295611091104332-45566142774776906r1470850059.m3u8.mp4
14,1,61297459547497700,61297453627874400,55294940529303300,61297453627874434-55294940529303342r1470850938.m3u8.mp4
14,2,61297459547497700,61297453627874400,55294940529303300,61297453627874434-55294940529303342r1470850983.m3u8.mp4
15,1,61298692777735100,61298687053141100,37171206849282200,61298687053141141-37171206849282286r1470851526.m3u8.mp4
15,2,61298692777735100,61298687053141100,37171206849282200,61298687053141141-37171206849282286r1470851644.m3u8.mp4
15,3,61298692777735100,61298687053141100,37171206849282200,61298687053141141-37171206849282286r1470852194.m3u8.mp4
15,4,61298692777735100,61298687053141100,37171206849282200,61298687053141141-37171206849282286r1470852527.m3u8.mp4
15,5,61298692777735100,61298687053141100,37171206849282200,61298687053141141-37171206849282286r1470852574.m3u8.mp4
15,6,61298692777735100,61298687053141100,37171206849282200,61298687053141141-37171206849282286r1470852703.m3u8.mp4
15,7,61298692777735100,61298687053141100,37171206849282200,61298687053141141-37171206849282286r1470852996.m3u8.mp4
15,8,61298692777735100,61298687053141100,37171206849282200,61298687053141141-37171206849282286r1470853126.m3u8.mp4
15,9,61298692777735100,61298687053141100,37171206849282200,61298687053141141-37171206849282286r1470853456.m3u8.mp4
15,10,61298692777735100,61298687053141100,37171206849282200,61298687053141141-37171206849282286r1470853567.m3u8.mp4
15,11,61298692777735100,61298687053141100,37171206849282200,61298687053141141-37171206849282286r1470853577.m3u8.mp4
15,12,61298692777735100,61298687053141100,37171206849282200,61298687053141141-37171206849282286r1470854248.m3u8.mp4
16,1,61299016741573400,61298998079657500,55294940529303300,61298998079657592-55294940529303342r1470851674.m3u8.mp4
17,1,61302495608464600,61302490160698000,55294940529303300,61302490160698089-55294940529303342r1470853339.m3u8.mp4
17,2,61302495608464600,61302490160698000,55294940529303300,61302490160698089-55294940529303342r1470854036.m3u8.mp4
18,1,61302731336738000,61302727671559300,54666765155714000,61302727671559326-54666765155714022r1470853453.m3u8.mp4
19,1,61315175434048300,61315171833879600,54666765155714000,61315171833879697-54666765155714022r1470859386.m3u8.mp4
20,1,61332665801266000,61332660875697300,45566142774776900,61332660875697303-45566142774776906r1470867726.m3u8.mp4
21,1,61332775564104500,61332768184869500,43445978767789100,61332768184869522-43445978767789165r1470867777.m3u8.mp4
22,1,61337198675776300,61337172057272900,53604774286737900,61337172057272927-53604774286737927r1470869877.m3u8.mp4
23,1,61340980176384900,61340976253248100,53568543410625400,61340976253248150-53568543410625422r1470871691.m3u8.mp4
23,2,61340980176384900,61340976253248100,53568543410625400,61340976253248150-53568543410625422r1470873652.m3u8.mp4
24,1,61341386969347000,61341370014504100,53604774286737900,61341370014504121-53604774286737927r1470871879.m3u8.mp4
25,1,61347060268819700,61347044433860200,41365734051282700,61347044433860248-41365734051282735r1470874594.m3u8.mp4
25,2,61347060268819700,61347044433860200,41365734051282700,61347044433860248-41365734051282735r1470874739.m3u8.mp4
25,3,61347060268819700,61347044433860200,41365734051282700,61347044433860248-41365734051282735r1470874968.m3u8.mp4
26,1,61347079998825700,61347079458397300,52159828992205700,61347079458397352-52159828992205772r1470874601.m3u8.mp4
27,1,61348651822642100,61348650785184300,53782875536890400,61348650785184397-53782875536890474r1470875351.m3u8.mp4
28,1,61350950674523400,61350950358488200,53782875536890400,61350950358488263-53782875536890474r1470876447.m3u8.mp4
29,1,61351057073530100,61351032438923900,53604774286737900,61351032438923942-53604774286737927r1470876486.m3u8.mp4
29,2,61351057073530100,61351032438923900,53604774286737900,61351032438923942-53604774286737927r1470876928.m3u8.mp4
29,3,61351057073530100,61351032438923900,53604774286737900,61351032438923942-53604774286737927r1470877528.m3u8.mp4
29,4,61351057073530100,61351032438923900,53604774286737900,61351032438923942-53604774286737927r1470879615.m3u8.mp4
29,5,61351057073530100,61351032438923900,53604774286737900,61351032438923942-53604774286737927r1470880156.m3u8.mp4
29,6,61351057073530100,61351032438923900,53604774286737900,61351032438923942-53604774286737927r1470882609.m3u8.mp4
29,7,61351057073530100,61351032438923900,53604774286737900,61351032438923942-53604774286737927r1470884127.m3u8.mp4
29,8,61351057073530100,61351032438923900,53604774286737900,61351032438923942-53604774286737927r1470884221.m3u8.mp4
30,1,61351351666763000,61351347653449300,53568543410625400,61351347653449372-53568543410625422r1470876636.m3u8.mp4
31,1,61351411980854500,61351383992899200,50723234246563800,61351383992899229-50723234246563853r1470876654.m3u8.mp4
32,1,61351468041921800,61351467635712600,47682196185552100,61351467635712681-47682196185552116r1470876694.m3u8.mp4
33,1,61353072927339500,61353068844819100,28280119248120200,61353068844819116-28280119248120260r1470877457.m3u8.mp4
33,2,61353072927339500,61353068844819100,28280119248120200,61353068844819116-28280119248120260r1470877461.m3u8.mp4
34,1,61353950377829600,61353937176896100,50163229720061900,61353937176896179-50163229720061981r1470877884.m3u8.mp4
35,1,61354065612141500,61354061655454900,48337346409533100,61354061655454911-48337346409533126r1470877931.m3u8.mp4
35,2,61354065612141500,61354061655454900,48337346409533100,61354061655454911-48337346409533126r1470879342.m3u8.mp4
36,1,61354154376193300,61354154005635700,52683441243695100,61354154005635764-52683441243695171r1470877975.m3u8.mp4
37,1,61354688944436200,61354673774277200,32951597816271600,61354673774277241-32951597816271694r1470878222.m3u8.mp4
37,2,61354688944436200,61354673774277200,32951597816271600,61354673774277241-32951597816271694r1470878379.m3u8.mp4
37,3,61354688944436200,61354673774277200,32951597816271600,61354673774277241-32951597816271694r1470878415.m3u8.mp4
38,1,61355439169106900,61355438907594400,53272535766146600,61355438907594417-53272535766146639r1470878587.m3u8.mp4
