Room,Stream,Performer,Link
61285856729002900,61285850754847400,53568543410625400,http://qiubailive.ks3-cn-beijing.ksyun.com/record/live/61285850754847401/hls/61285850754847401-53568543410625422r1470845405.m3u8
61285856729002900,61285850754847400,53568543410625400,http://qiubailive.ks3-cn-beijing.ksyun.com/record/live/61285850754847401/hls/61285850754847401-53568543410625422r1470845472.m3u8
61285856729002900,61285850754847400,53568543410625400,http://qiubailive.ks3-cn-beijing.ksyun.com/record/live/61285850754847401/hls/61285850754847401-53568543410625422r1470845477.m3u8
61285856729002900,61285850754847400,53568543410625400,http://qiubailive.ks3-cn-beijing.ksyun.com/record/live/61285850754847401/hls/61285850754847401-53568543410625422r1470845598.m3u8
61285856729002900,61285850754847400,53568543410625400,http://qiubailive.ks3-cn-beijing.ksyun.com/record/live/61285850754847401/hls/61285850754847401-53568543410625422r1470845823.m3u8
61285856729002900,61285850754847400,53568543410625400,http://qiubailive.ks3-cn-beijing.ksyun.com/record/live/61285850754847401/hls/61285850754847401-53568543410625422r1470845968.m3u8
61285856729002900,61285850754847400,53568543410625400,http://qiubailive.ks3-cn-beijing.ksyun.com/record/live/61285850754847401/hls/61285850754847401-53568543410625422r1470846173.m3u8
61285856729002900,61285850754847400,53568543410625400,http://qiubailive.ks3-cn-beijing.ksyun.com/record/live/61285850754847401/hls/61285850754847401-53568543410625422r1470846729.m3u8
61285856729002900,61285850754847400,53568543410625400,http://qiubailive.ks3-cn-beijing.ksyun.com/record/live/61285850754847401/hls/61285850754847401-53568543410625422r1470847455.m3u8
61285856729002900,61285850754847400,53568543410625400,http://qiubailive.ks3-cn-beijing.ksyun.com/record/live/61285850754847401/hls/61285850754847401-53568543410625422r1470847814.m3u8
61286026254381900,61286025609090600,51055977402738200,http://qiubailive.ks3-cn-beijing.ksyun.com/record/live/61286025609090654/hls/61286025609090654-51055977402738228r1470845488.m3u8
61286350362932100,61286346146191900,45566142774776900,http://qiubailive.ks3-cn-beijing.ksyun.com/record/live/61286346146191952/hls/61286346146191952-45566142774776906r1470845641.m3u8
61286438759986000,61286438037103700,31045571313558700,http://qiubailive.ks3-cn-beijing.ksyun.com/record/live/61286438037103747/hls/61286438037103747-31045571313558736r1470845685.m3u8
61286518938301300,61286518490141800,51055977402738200,http://qiubailive.ks3-cn-beijing.ksyun.com/record/live/61286518490141808/hls/61286518490141808-51055977402738228r1470845724.m3u8
61287952993907600,61287951633487400,52159828992205700,http://qiubailive.ks3-cn-beijing.ksyun.com/record/live/61287951633487457/hls/61287951633487457-52159828992205772r1470846407.m3u8
61288283129672600,61288279198144600,28385471671136300,http://qiubailive.ks3-cn-beijing.ksyun.com/record/live/61288279198144640/hls/61288279198144640-28385471671136325r1470846563.m3u8
61290823219049400,61290822349361800,49821859146901500,http://qiubailive.ks3-cn-beijing.ksyun.com/record/live/61290822349361864/hls/61290822349361864-49821859146901565r1470847776.m3u8
61291159528829800,61291159070185000,53782875536890400,http://qiubailive.ks3-cn-beijing.ksyun.com/record/live/61291159070185066/hls/61291159070185066-53782875536890474r1470847936.m3u8
61292315795673900,61292315072797200,51233916513690300,http://qiubailive.ks3-cn-beijing.ksyun.com/record/live/61292315072797283/hls/61292315072797283-51233916513690382r1470848488.m3u8
61293841834472400,61293829048771100,52868343920602700,http://qiubailive.ks3-cn-beijing.ksyun.com/record/live/61293829048771181/hls/61293829048771181-52868343920602753r1470849209.m3u8
61293841834472400,61293829048771100,52868343920602700,http://qiubailive.ks3-cn-beijing.ksyun.com/record/live/61293829048771181/hls/61293829048771181-52868343920602753r1470849427.m3u8
61293841834472400,61293829048771100,52868343920602700,http://qiubailive.ks3-cn-beijing.ksyun.com/record/live/61293829048771181/hls/61293829048771181-52868343920602753r1470850416.m3u8
61294819564483500,61294794441241700,53326834294599500,http://qiubailive.ks3-cn-beijing.ksyun.com/record/live/61294794441241748/hls/61294794441241748-53326834294599563r1470849670.m3u8
61294819564483500,61294794441241700,53326834294599500,http://qiubailive.ks3-cn-beijing.ksyun.com/record/live/61294794441241748/hls/61294794441241748-53326834294599563r1470849861.m3u8
61294819564483500,61294794441241700,53326834294599500,http://qiubailive.ks3-cn-beijing.ksyun.com/record/live/61294794441241748/hls/61294794441241748-53326834294599563r1470850116.m3u8
61294819564483500,61294794441241700,53326834294599500,http://qiubailive.ks3-cn-beijing.ksyun.com/record/live/61294794441241748/hls/61294794441241748-53326834294599563r1470850127.m3u8
61294819564483500,61294794441241700,53326834294599500,http://qiubailive.ks3-cn-beijing.ksyun.com/record/live/61294794441241748/hls/61294794441241748-53326834294599563r1470850132.m3u8
61294819564483500,61294794441241700,53326834294599500,http://qiubailive.ks3-cn-beijing.ksyun.com/record/live/61294794441241748/hls/61294794441241748-53326834294599563r1470850939.m3u8
61294819564483500,61294794441241700,53326834294599500,http://qiubailive.ks3-cn-beijing.ksyun.com/record/live/61294794441241748/hls/61294794441241748-53326834294599563r1470850986.m3u8
61295615880360900,61295611091104300,45566142774776900,http://qiubailive.ks3-cn-beijing.ksyun.com/record/live/61295611091104332/hls/61295611091104332-45566142774776906r1470850059.m3u8
61297459547497700,61297453627874400,55294940529303300,http://qiubailive.ks3-cn-beijing.ksyun.com/record/live/61297453627874434/hls/61297453627874434-55294940529303342r1470850938.m3u8
61297459547497700,61297453627874400,55294940529303300,http://qiubailive.ks3-cn-beijing.ksyun.com/record/live/61297453627874434/hls/61297453627874434-55294940529303342r1470850983.m3u8
61298692777735100,61298687053141100,37171206849282200,http://qiubailive.ks3-cn-beijing.ksyun.com/record/live/61298687053141141/hls/61298687053141141-37171206849282286r1470851526.m3u8
61298692777735100,61298687053141100,37171206849282200,http://qiubailive.ks3-cn-beijing.ksyun.com/record/live/61298687053141141/hls/61298687053141141-37171206849282286r1470851644.m3u8
61298692777735100,61298687053141100,37171206849282200,http://qiubailive.ks3-cn-beijing.ksyun.com/record/live/61298687053141141/hls/61298687053141141-37171206849282286r1470852194.m3u8
61298692777735100,61298687053141100,37171206849282200,http://qiubailive.ks3-cn-beijing.ksyun.com/record/live/61298687053141141/hls/61298687053141141-37171206849282286r1470852527.m3u8
61298692777735100,61298687053141100,37171206849282200,http://qiubailive.ks3-cn-beijing.ksyun.com/record/live/61298687053141141/hls/61298687053141141-37171206849282286r1470852574.m3u8
61298692777735100,61298687053141100,37171206849282200,http://qiubailive.ks3-cn-beijing.ksyun.com/record/live/61298687053141141/hls/61298687053141141-37171206849282286r1470852703.m3u8
61298692777735100,61298687053141100,37171206849282200,http://qiubailive.ks3-cn-beijing.ksyun.com/record/live/61298687053141141/hls/61298687053141141-37171206849282286r1470852996.m3u8
61298692777735100,61298687053141100,37171206849282200,http://qiubailive.ks3-cn-beijing.ksyun.com/record/live/61298687053141141/hls/61298687053141141-37171206849282286r1470853126.m3u8
61298692777735100,61298687053141100,37171206849282200,http://qiubailive.ks3-cn-beijing.ksyun.com/record/live/61298687053141141/hls/61298687053141141-37171206849282286r1470853456.m3u8
61298692777735100,61298687053141100,37171206849282200,http://qiubailive.ks3-cn-beijing.ksyun.com/record/live/61298687053141141/hls/61298687053141141-37171206849282286r1470853567.m3u8
61298692777735100,61298687053141100,37171206849282200,http://qiubailive.ks3-cn-beijing.ksyun.com/record/live/61298687053141141/hls/61298687053141141-37171206849282286r1470853577.m3u8
61298692777735100,61298687053141100,37171206849282200,http://qiubailive.ks3-cn-beijing.ksyun.com/record/live/61298687053141141/hls/61298687053141141-37171206849282286r1470854248.m3u8
61299016741573400,61298998079657500,55294940529303300,http://qiubailive.ks3-cn-beijing.ksyun.com/record/live/61298998079657592/hls/61298998079657592-55294940529303342r1470851674.m3u8
61302495608464600,61302490160698000,55294940529303300,http://qiubailive.ks3-cn-beijing.ksyun.com/record/live/61302490160698089/hls/61302490160698089-55294940529303342r1470853339.m3u8
61302495608464600,61302490160698000,55294940529303300,http://qiubailive.ks3-cn-beijing.ksyun.com/record/live/61302490160698089/hls/61302490160698089-55294940529303342r1470854036.m3u8
61302731336738000,61302727671559300,54666765155714000,http://qiubailive.ks3-cn-beijing.ksyun.com/record/live/61302727671559326/hls/61302727671559326-54666765155714022r1470853453.m3u8
61315175434048300,61315171833879600,54666765155714000,http://qiubailive.ks3-cn-beijing.ksyun.com/record/live/61315171833879697/hls/61315171833879697-54666765155714022r1470859386.m3u8
61332665801266000,61332660875697300,45566142774776900,http://qiubailive.ks3-cn-beijing.ksyun.com/record/live/61332660875697303/hls/61332660875697303-45566142774776906r1470867726.m3u8
61332775564104500,61332768184869500,43445978767789100,http://qiubailive.ks3-cn-beijing.ksyun.com/record/live/61332768184869522/hls/61332768184869522-43445978767789165r1470867777.m3u8
61337198675776300,61337172057272900,53604774286737900,http://qiubailive.ks3-cn-beijing.ksyun.com/record/live/61337172057272927/hls/61337172057272927-53604774286737927r1470869877.m3u8
61340980176384900,61340976253248100,53568543410625400,http://qiubailive.ks3-cn-beijing.ksyun.com/record/live/61340976253248150/hls/61340976253248150-53568543410625422r1470871691.m3u8
