group 00001, 9 videos, 36621 frames, use time 6.733760 seconds
group 00002, 1 videos, 5938 frames, use time 0.548604 seconds
group 00003, 1 videos, 2541 frames, use time 0.415548 seconds
group 00004, 1 videos, 1049 frames, use time 0.057544 seconds
group 00005, 1 videos, 341564 frames, use time 76.723639 seconds
group 00006, 1 videos, 48570 frames, use time 4.990517 seconds
group 00007, 1 videos, 5789 frames, use time 1.118460 seconds
group 00008, 1 videos, 196818 frames, use time 28.209700 seconds
group 00009, 1 videos, 333 frames, use time 0.021993 seconds
group 00010, 1 videos, 2424 frames, use time 0.048961 seconds
group 00011, 3 videos, 19700 frames, use time 2.285632 seconds
group 00012, 4 videos, 270652 frames, use time 35.155892 seconds
group 00013, 1 videos, 5956 frames, use time 1.351135 seconds
group 00014, 0 videos, 0 frames, use time 0.074807 seconds
group 00015, 10 videos, 23476 frames, use time 3.940711 seconds
group 00016, 1 videos, 9200 frames, use time 1.035732 seconds
group 00017, 2 videos, 30071 frames, use time 3.417472 seconds
group 00018, 1 videos, 85953 frames, use time 10.672258 seconds
group 00019, 1 videos, 14390 frames, use time 2.078653 seconds
group 00020, 1 videos, 1763 frames, use time 0.472889 seconds
group 00021, 1 videos, 28380 frames, use time 4.738719 seconds
group 00022, 1 videos, 16831 frames, use time 4.221115 seconds
group 00023, 2 videos, 52382 frames, use time 6.306593 seconds
group 00024, 1 videos, 13847 frames, use time 4.169626 seconds
group 00025, 3 videos, 5055 frames, use time 0.521415 seconds
group 00026, 1 videos, 942 frames, use time 0.153537 seconds
group 00027, 1 videos, 15872 frames, use time 1.220068 seconds
group 00028, 1 videos, 67270 frames, use time 6.464882 seconds
group 00029, 8 videos, 109952 frames, use time 22.845181 seconds
group 00030, 1 videos, 41022 frames, use time 4.371261 seconds
group 00031, 1 videos, 114225 frames, use time 15.293342 seconds
group 00032, 1 videos, 239117 frames, use time 43.127591 seconds
group 00033, 1 videos, 9962 frames, use time 1.180427 seconds
group 00034, 1 videos, 3631 frames, use time 0.270848 seconds
group 00035, 2 videos, 47337 frames, use time 9.302945 seconds
group 00036, 1 videos, 50321 frames, use time 5.158106 seconds
group 00037, 3 videos, 4134 frames, use time 0.538863 seconds
group 00038, 1 videos, 72124 frames, use time 7.772372 seconds
group 00039, 1 videos, 11927 frames, use time 1.079561 seconds
group 00040, 11 videos, 68537 frames, use time 9.560642 seconds
group 00041, 7 videos, 5440 frames, use time 0.694265 seconds
group 00042, 1 videos, 142054 frames, use time 15.327052 seconds
group 00043, 1 videos, 108982 frames, use time 13.142328 seconds
group 00044, 1 videos, 8471 frames, use time 0.761835 seconds
group 00045, 1 videos, 18889 frames, use time 1.701194 seconds
group 00046, 5 videos, 78059 frames, use time 9.951361 seconds
group 00047, 1 videos, 49937 frames, use time 5.050344 seconds
group 00048, 1 videos, 15296 frames, use time 1.459571 seconds
group 00049, 1 videos, 128705 frames, use time 18.370112 seconds
group 00050, 1 videos, 12192 frames, use time 2.153265 seconds
group 00051, 5 videos, 102234 frames, use time 14.733759 seconds
group 00052, 1 videos, 208017 frames, use time 36.235493 seconds
group 00053, 2 videos, 83647 frames, use time 12.266376 seconds
group 00054, 1 videos, 9435 frames, use time 1.531732 seconds
group 00055, 2 videos, 50797 frames, use time 10.846795 seconds
group 00056, 1 videos, 1063 frames, use time 0.259785 seconds
group 00057, 1 videos, 11153 frames, use time 1.353955 seconds
group 00058, 2 videos, 13019 frames, use time 2.020028 seconds
group 00059, 1 videos, 35190 frames, use time 8.924515 seconds
group 00060, 2 videos, 10612 frames, use time 4.145734 seconds
group 00061, 3 videos, 55330 frames, use time 6.765841 seconds
group 00062, 2 videos, 191894 frames, use time 24.908149 seconds
group 00063, 1 videos, 69109 frames, use time 7.824173 seconds
group 00064, 1 videos, 147026 frames, use time 19.321724 seconds
group 00065, 1 videos, 4288 frames, use time 0.348261 seconds
group 00066, 1 videos, 13988 frames, use time 2.149594 seconds
group 00067, 1 videos, 67489 frames, use time 7.882602 seconds
group 00068, 1 videos, 23922 frames, use time 2.112679 seconds
group 00069, 1 videos, 109921 frames, use time 13.412116 seconds
group 00070, 1 videos, 15403 frames, use time 1.522113 seconds
group 00071, 3 videos, 9163 frames, use time 2.824578 seconds
group 00072, 1 videos, 80431 frames, use time 8.057589 seconds
group 00073, 6 videos, 24088 frames, use time 3.521793 seconds
group 00074, 1 videos, 286059 frames, use time 39.794406 seconds
group 00075, 1 videos, 33104 frames, use time 3.048834 seconds
group 00076, 3 videos, 41499 frames, use time 7.913994 seconds
group 00077, 1 videos, 1688 frames, use time 0.275475 seconds
group 00078, 2 videos, 36641 frames, use time 3.670182 seconds
group 00079, 1 videos, 294552 frames, use time 63.199415 seconds
group 00080, 1 videos, 23426 frames, use time 2.249543 seconds
group 00081, 1 videos, 22959 frames, use time 2.791808 seconds
group 00082, 1 videos, 10700 frames, use time 1.833188 seconds
group 00083, 7 videos, 142436 frames, use time 47.587672 seconds
group 00084, 1 videos, 43401 frames, use time 7.467444 seconds
group 00085, 1 videos, 138075 frames, use time 19.871969 seconds
group 00086, 1 videos, 38593 frames, use time 4.010697 seconds
group 00087, 1 videos, 6390 frames, use time 0.639170 seconds
group 00088, 6 videos, 95503 frames, use time 16.499442 seconds
group 00089, 1 videos, 43679 frames, use time 4.273383 seconds
group 00090, 3 videos, 59799 frames, use time 10.111729 seconds
group 00091, 1 videos, 63989 frames, use time 5.887716 seconds
group 00092, 1 videos, 4946 frames, use time 0.813417 seconds
group 00093, 1 videos, 51691 frames, use time 5.114049 seconds
group 00094, 1 videos, 14413 frames, use time 1.344925 seconds
group 00095, 4 videos, 109295 frames, use time 12.988725 seconds
group 00096, 1 videos, 60866 frames, use time 6.225486 seconds
group 00097, 1 videos, 644 frames, use time 0.135436 seconds
group 00098, 1 videos, 66952 frames, use time 13.331685 seconds
group 00099, 2 videos, 63158 frames, use time 13.819344 seconds
group 00100, 15 videos, 17991 frames, use time 3.483432 seconds
group 00101, 1 videos, 1549 frames, use time 0.153073 seconds
group 00102, 1 videos, 20521 frames, use time 4.453251 seconds
group 00103, 1 videos, 586 frames, use time 0.142474 seconds
group 00104, 1 videos, 19368 frames, use time 3.432416 seconds
group 00105, 1 videos, 62281 frames, use time 6.946925 seconds
group 00106, 1 videos, 119389 frames, use time 13.755261 seconds
group 00107, 1 videos, 2516 frames, use time 0.416065 seconds
group 00108, 1 videos, 3278 frames, use time 0.825553 seconds
group 00109, 1 videos, 63107 frames, use time 6.991455 seconds
group 00110, 1 videos, 5778 frames, use time 0.528168 seconds
group 00111, 1 videos, 6486 frames, use time 0.860648 seconds
group 00112, 1 videos, 91425 frames, use time 22.568931 seconds
group 00113, 1 videos, 50103 frames, use time 5.454793 seconds
group 00114, 1 videos, 722 frames, use time 0.168056 seconds
group 00115, 1 videos, 1678 frames, use time 0.615907 seconds
group 00116, 1 videos, 9779 frames, use time 1.684038 seconds
group 00117, 4 videos, 39610 frames, use time 6.569649 seconds
group 00118, 1 videos, 19384 frames, use time 3.100739 seconds
group 00119, 1 videos, 6522 frames, use time 0.586959 seconds
group 00120, 1 videos, 805 frames, use time 0.077102 seconds
group 00121, 1 videos, 666 frames, use time 0.211787 seconds
group 00122, 1 videos, 324 frames, use time 0.052250 seconds
group 00123, 1 videos, 86028 frames, use time 10.198754 seconds
group 00124, 1 videos, 980 frames, use time 0.149664 seconds
group 00125, 1 videos, 1592 frames, use time 0.149981 seconds
group 00126, 1 videos, 63543 frames, use time 6.503305 seconds
group 00127, 1 videos, 50454 frames, use time 4.067775 seconds
group 00128, 1 videos, 131899 frames, use time 16.335840 seconds
group 00129, 2 videos, 844 frames, use time 0.194932 seconds
group 00130, 1 videos, 948 frames, use time 0.184708 seconds
group 00131, 1 videos, 6332 frames, use time 0.571968 seconds
group 00132, 1 videos, 88325 frames, use time 10.137413 seconds
group 00133, 3 videos, 7639 frames, use time 1.077200 seconds
group 00134, 4 videos, 87871 frames, use time 12.422385 seconds
group 00135, 1 videos, 57243 frames, use time 6.006109 seconds
group 00136, 7 videos, 11628 frames, use time 2.333481 seconds
group 00137, 5 videos, 21832 frames, use time 6.318596 seconds
group 00138, 1 videos, 190766 frames, use time 27.296731 seconds
group 00139, 2 videos, 21061 frames, use time 2.615983 seconds
group 00140, 3 videos, 67748 frames, use time 9.671303 seconds
group 00141, 1 videos, 45051 frames, use time 4.666321 seconds
group 00142, 1 videos, 55126 frames, use time 5.838545 seconds
group 00143, 1 videos, 107132 frames, use time 12.537220 seconds
group 00144, 3 videos, 11651 frames, use time 2.083074 seconds
group 00145, 5 videos, 25313 frames, use time 7.042103 seconds
group 00146, 10 videos, 27917 frames, use time 3.223121 seconds
group 00147, 1 videos, 139696 frames, use time 16.842013 seconds
group 00148, 1 videos, 90019 frames, use time 10.244226 seconds
group 00149, 1 videos, 104645 frames, use time 11.876884 seconds
group 00150, 2 videos, 36342 frames, use time 10.588514 seconds
group 00151, 1 videos, 5458 frames, use time 0.570735 seconds
group 00152, 1 videos, 114960 frames, use time 19.263156 seconds
group 00153, 1 videos, 38317 frames, use time 3.696759 seconds
group 00154, 1 videos, 153209 frames, use time 20.598697 seconds
group 00155, 1 videos, 1680 frames, use time 0.643431 seconds
group 00156, 1 videos, 742 frames, use time 0.084884 seconds
group 00157, 1 videos, 14944 frames, use time 1.494057 seconds
group 00158, 1 videos, 232527 frames, use time 29.478233 seconds
group 00159, 1 videos, 45193 frames, use time 4.714896 seconds
group 00160, 4 videos, 5401 frames, use time 0.751347 seconds
group 00161, 3 videos, 52465 frames, use time 13.756107 seconds
group 00162, 1 videos, 99933 frames, use time 14.355836 seconds
group 00163, 26 videos, 139903 frames, use time 14.426469 seconds
group 00164, 1 videos, 4443 frames, use time 0.473687 seconds
group 00165, 1 videos, 60516 frames, use time 6.285719 seconds
group 00166, 20 videos, 52735 frames, use time 9.193960 seconds
group 00167, 1 videos, 1201 frames, use time 0.343977 seconds
group 00168, 1 videos, 106498 frames, use time 12.539057 seconds
group 00169, 1 videos, 8611 frames, use time 1.450047 seconds
group 00170, 2 videos, 38868 frames, use time 7.794798 seconds
group 00171, 1 videos, 915 frames, use time 0.149877 seconds
group 00172, 11 videos, 36597 frames, use time 3.532287 seconds
group 00173, 12 videos, 107287 frames, use time 12.549612 seconds
group 00174, 1 videos, 41529 frames, use time 4.151329 seconds
group 00175, 10 videos, 81921 frames, use time 9.941176 seconds
group 00176, 1 videos, 202804 frames, use time 23.836583 seconds
group 00177, 2 videos, 47841 frames, use time 8.866933 seconds
group 00178, 0 videos, 0 frames, use time 0.057737 seconds
group 00179, 1 videos, 72898 frames, use time 8.238920 seconds
group 00180, 1 videos, 65567 frames, use time 6.978139 seconds
group 00181, 1 videos, 107899 frames, use time 12.886971 seconds
group 00182, 1 videos, 3851 frames, use time 0.187426 seconds
group 00183, 0 videos, 0 frames, use time 0.144531 seconds
group 00184, 0 videos, 0 frames, use time 0.081957 seconds
