Group_ID,Video_Index,Room,Session,Performer,Video_Name, Frame_Num
1,1,61285856729002900,61285850754847400,53568543410625400,61285850754847401-53568543410625422r1470845405.m3u8.mp4,673
1,1,61285856729002900,61285850754847400,53568543410625400,61285850754847401-53568543410625422r1470845477.m3u8.mp4,1277
1,1,61285856729002900,61285850754847400,53568543410625400,61285850754847401-53568543410625422r1470845598.m3u8.mp4,2592
1,1,61285856729002900,61285850754847400,53568543410625400,61285850754847401-53568543410625422r1470845823.m3u8.mp4,666
1,1,61285856729002900,61285850754847400,53568543410625400,61285850754847401-53568543410625422r1470845968.m3u8.mp4,2196
1,1,61285856729002900,61285850754847400,53568543410625400,61285850754847401-53568543410625422r1470846173.m3u8.mp4,6349
1,1,61285856729002900,61285850754847400,53568543410625400,61285850754847401-53568543410625422r1470846729.m3u8.mp4,8238
1,1,61285856729002900,61285850754847400,53568543410625400,61285850754847401-53568543410625422r1470847455.m3u8.mp4,4046
1,1,61285856729002900,61285850754847400,53568543410625400,61285850754847401-53568543410625422r1470847814.m3u8.mp4,10584
2,2,61286026254381900,61286025609090600,51055977402738200,61286025609090654-51055977402738228r1470845488.m3u8.mp4,5938
3,3,61286350362932100,61286346146191900,45566142774776900,61286346146191952-45566142774776906r1470845641.m3u8.mp4,2541
4,4,61286438759986000,61286438037103700,31045571313558700,61286438037103747-31045571313558736r1470845685.m3u8.mp4,1049
5,5,61286518938301300,61286518490141800,51055977402738200,61286518490141808-51055977402738228r1470845724.m3u8.mp4,341564
6,6,61287952993907600,61287951633487400,52159828992205700,61287951633487457-52159828992205772r1470846407.m3u8.mp4,48570
7,7,61288283129672600,61288279198144600,28385471671136300,61288279198144640-28385471671136325r1470846563.m3u8.mp4,5789
8,8,61290823219049400,61290822349361800,49821859146901500,61290822349361864-49821859146901565r1470847776.m3u8.mp4,196818
9,9,61291159528829800,61291159070185000,53782875536890400,61291159070185066-53782875536890474r1470847936.m3u8.mp4,333
10,10,61292315795673900,61292315072797200,51233916513690300,61292315072797283-51233916513690382r1470848488.m3u8.mp4,2424
11,11,61293841834472400,61293829048771100,52868343920602700,61293829048771181-52868343920602753r1470849209.m3u8.mp4,2947
11,11,61293841834472400,61293829048771100,52868343920602700,61293829048771181-52868343920602753r1470849427.m3u8.mp4,14379
11,11,61293841834472400,61293829048771100,52868343920602700,61293829048771181-52868343920602753r1470850416.m3u8.mp4,2374
