Group_ID,Room,Session,Performer,Video_Name,Video_Index
1,61285900000000000,61285900000000000,53568500000000000,61285850754847401-53568543410625422r1470845405.m3u8.mp4,1
1,61285900000000000,61285900000000000,53568500000000000,61285850754847401-53568543410625422r1470845472.m3u8.mp4,2
1,61285900000000000,61285900000000000,53568500000000000,61285850754847401-53568543410625422r1470845477.m3u8.mp4,3
1,61285900000000000,61285900000000000,53568500000000000,61285850754847401-53568543410625422r1470845598.m3u8.mp4,4
1,61285900000000000,61285900000000000,53568500000000000,61285850754847401-53568543410625422r1470845823.m3u8.mp4,5
1,61285900000000000,61285900000000000,53568500000000000,61285850754847401-53568543410625422r1470845968.m3u8.mp4,6
1,61285900000000000,61285900000000000,53568500000000000,61285850754847401-53568543410625422r1470846173.m3u8.mp4,7
1,61285900000000000,61285900000000000,53568500000000000,61285850754847401-53568543410625422r1470846729.m3u8.mp4,8
1,61285900000000000,61285900000000000,53568500000000000,61285850754847401-53568543410625422r1470847455.m3u8.mp4,9
1,61285900000000000,61285900000000000,53568500000000000,61285850754847401-53568543410625422r1470847814.m3u8.mp4,10
2,61286000000000000,61286000000000000,51056000000000000,61286025609090654-51055977402738228r1470845488.m3u8.mp4,1
3,61286400000000000,61286300000000000,45566100000000000,61286346146191952-45566142774776906r1470845641.m3u8.mp4,1
4,61286400000000000,61286400000000000,31045600000000000,61286438037103747-31045571313558736r1470845685.m3u8.mp4,1
5,61286500000000000,61286500000000000,51056000000000000,61286518490141808-51055977402738228r1470845724.m3u8.mp4,1
6,61288000000000000,61288000000000000,52159800000000000,61287951633487457-52159828992205772r1470846407.m3u8.mp4,1
7,61288300000000000,61288300000000000,28385500000000000,61288279198144640-28385471671136325r1470846563.m3u8.mp4,1
8,61290800000000000,61290800000000000,49821900000000000,61290822349361864-49821859146901565r1470847776.m3u8.mp4,1
9,61291200000000000,61291200000000000,53782900000000000,61291159070185066-53782875536890474r1470847936.m3u8.mp4,1
10,61292300000000000,61292300000000000,51233900000000000,61292315072797283-51233916513690382r1470848488.m3u8.mp4,1
11,61293800000000000,61293800000000000,52868300000000000,61293829048771181-52868343920602753r1470849209.m3u8.mp4,1
11,61293800000000000,61293800000000000,52868300000000000,61293829048771181-52868343920602753r1470849427.m3u8.mp4,2
11,61293800000000000,61293800000000000,52868300000000000,61293829048771181-52868343920602753r1470850416.m3u8.mp4,3
12,61294800000000000,61294800000000000,53326800000000000,61294794441241748-53326834294599563r1470849670.m3u8.mp4,1
12,61294800000000000,61294800000000000,53326800000000000,61294794441241748-53326834294599563r1470849861.m3u8.mp4,2
12,61294800000000000,61294800000000000,53326800000000000,61294794441241748-53326834294599563r1470850116.m3u8.mp4,3
12,61294800000000000,61294800000000000,53326800000000000,61294794441241748-53326834294599563r1470850127.m3u8.mp4,4
12,61294800000000000,61294800000000000,53326800000000000,61294794441241748-53326834294599563r1470850132.m3u8.mp4,5
12,61294800000000000,61294800000000000,53326800000000000,61294794441241748-53326834294599563r1470850939.m3u8.mp4,6
12,61294800000000000,61294800000000000,53326800000000000,61294794441241748-53326834294599563r1470850986.m3u8.mp4,7
13,61295600000000000,61295600000000000,45566100000000000,61295611091104332-45566142774776906r1470850059.m3u8.mp4,1
14,61297500000000000,61297500000000000,55294900000000000,61297453627874434-55294940529303342r1470850938.m3u8.mp4,1
14,61297500000000000,61297500000000000,55294900000000000,61297453627874434-55294940529303342r1470850983.m3u8.mp4,2
15,61298700000000000,61298700000000000,37171200000000000,61298687053141141-37171206849282286r1470851526.m3u8.mp4,1
15,61298700000000000,61298700000000000,37171200000000000,61298687053141141-37171206849282286r1470851644.m3u8.mp4,2
15,61298700000000000,61298700000000000,37171200000000000,61298687053141141-37171206849282286r1470852194.m3u8.mp4,3
15,61298700000000000,61298700000000000,37171200000000000,61298687053141141-37171206849282286r1470852527.m3u8.mp4,4
15,61298700000000000,61298700000000000,37171200000000000,61298687053141141-37171206849282286r1470852574.m3u8.mp4,5
15,61298700000000000,61298700000000000,37171200000000000,61298687053141141-37171206849282286r1470852703.m3u8.mp4,6
15,61298700000000000,61298700000000000,37171200000000000,61298687053141141-37171206849282286r1470852996.m3u8.mp4,7
15,61298700000000000,61298700000000000,37171200000000000,61298687053141141-37171206849282286r1470853126.m3u8.mp4,8
15,61298700000000000,61298700000000000,37171200000000000,61298687053141141-37171206849282286r1470853456.m3u8.mp4,9
15,61298700000000000,61298700000000000,37171200000000000,61298687053141141-37171206849282286r1470853567.m3u8.mp4,10
15,61298700000000000,61298700000000000,37171200000000000,61298687053141141-37171206849282286r1470853577.m3u8.mp4,11
15,61298700000000000,61298700000000000,37171200000000000,61298687053141141-37171206849282286r1470854248.m3u8.mp4,12
16,61299000000000000,61299000000000000,55294900000000000,61298998079657592-55294940529303342r1470851674.m3u8.mp4,1
17,61302500000000000,61302500000000000,55294900000000000,61302490160698089-55294940529303342r1470853339.m3u8.mp4,1
17,61302500000000000,61302500000000000,55294900000000000,61302490160698089-55294940529303342r1470854036.m3u8.mp4,2
18,61302700000000000,61302700000000000,54666800000000000,61302727671559326-54666765155714022r1470853453.m3u8.mp4,1
19,61315200000000000,61315200000000000,54666800000000000,61315171833879697-54666765155714022r1470859386.m3u8.mp4,1
20,61332700000000000,61332700000000000,45566100000000000,61332660875697303-45566142774776906r1470867726.m3u8.mp4,1
21,61332800000000000,61332800000000000,43446000000000000,61332768184869522-43445978767789165r1470867777.m3u8.mp4,1
22,61337200000000000,61337200000000000,53604800000000000,61337172057272927-53604774286737927r1470869877.m3u8.mp4,1
23,61341000000000000,61341000000000000,53568500000000000,61340976253248150-53568543410625422r1470871691.m3u8.mp4,1
23,61341000000000000,61341000000000000,53568500000000000,61340976253248150-53568543410625422r1470873652.m3u8.mp4,2
24,61341400000000000,61341400000000000,53604800000000000,61341370014504121-53604774286737927r1470871879.m3u8.mp4,1
25,61347100000000000,61347000000000000,41365700000000000,61347044433860248-41365734051282735r1470874594.m3u8.mp4,1
25,61347100000000000,61347000000000000,41365700000000000,61347044433860248-41365734051282735r1470874739.m3u8.mp4,2
25,61347100000000000,61347000000000000,41365700000000000,61347044433860248-41365734051282735r1470874968.m3u8.mp4,3
26,61347100000000000,61347100000000000,52159800000000000,61347079458397352-52159828992205772r1470874601.m3u8.mp4,1
27,61348700000000000,61348700000000000,53782900000000000,61348650785184397-53782875536890474r1470875351.m3u8.mp4,1
28,61351000000000000,61351000000000000,53782900000000000,61350950358488263-53782875536890474r1470876447.m3u8.mp4,1
29,61351100000000000,61351000000000000,53604800000000000,61351032438923942-53604774286737927r1470876486.m3u8.mp4,1
29,61351100000000000,61351000000000000,53604800000000000,61351032438923942-53604774286737927r1470876928.m3u8.mp4,2
29,61351100000000000,61351000000000000,53604800000000000,61351032438923942-53604774286737927r1470877528.m3u8.mp4,3
29,61351100000000000,61351000000000000,53604800000000000,61351032438923942-53604774286737927r1470879615.m3u8.mp4,4
29,61351100000000000,61351000000000000,53604800000000000,61351032438923942-53604774286737927r1470880156.m3u8.mp4,5
29,61351100000000000,61351000000000000,53604800000000000,61351032438923942-53604774286737927r1470882609.m3u8.mp4,6
29,61351100000000000,61351000000000000,53604800000000000,61351032438923942-53604774286737927r1470884127.m3u8.mp4,7
29,61351100000000000,61351000000000000,53604800000000000,61351032438923942-53604774286737927r1470884221.m3u8.mp4,8
30,61351400000000000,61351300000000000,53568500000000000,61351347653449372-53568543410625422r1470876636.m3u8.mp4,1
31,61351400000000000,61351400000000000,50723200000000000,61351383992899229-50723234246563853r1470876654.m3u8.mp4,1
32,61351500000000000,61351500000000000,47682200000000000,61351467635712681-47682196185552116r1470876694.m3u8.mp4,1
33,61353100000000000,61353100000000000,28280100000000000,61353068844819116-28280119248120260r1470877457.m3u8.mp4,1
33,61353100000000000,61353100000000000,28280100000000000,61353068844819116-28280119248120260r1470877461.m3u8.mp4,2
34,61354000000000000,61353900000000000,50163200000000000,61353937176896179-50163229720061981r1470877884.m3u8.mp4,1
35,61354100000000000,61354100000000000,48337300000000000,61354061655454911-48337346409533126r1470877931.m3u8.mp4,1
35,61354100000000000,61354100000000000,48337300000000000,61354061655454911-48337346409533126r1470879342.m3u8.mp4,2
36,61354200000000000,61354200000000000,52683400000000000,61354154005635764-52683441243695171r1470877975.m3u8.mp4,1
37,61354700000000000,61354700000000000,32951600000000000,61354673774277241-32951597816271694r1470878222.m3u8.mp4,1
37,61354700000000000,61354700000000000,32951600000000000,61354673774277241-32951597816271694r1470878379.m3u8.mp4,2
37,61354700000000000,61354700000000000,32951600000000000,61354673774277241-32951597816271694r1470878415.m3u8.mp4,3
38,61355400000000000,61355400000000000,53272500000000000,61355438907594417-53272535766146639r1470878587.m3u8.mp4,1
39,61355500000000000,61355500000000000,52865300000000000,61355482553523383-52865298207877120r1470878608.m3u8.mp4,1
40,61357200000000000,61357200000000000,54333200000000000,61357152217863383-54333189488918772r1470879404.m3u8.mp4,1
40,61357200000000000,61357200000000000,54333200000000000,61357152217863383-54333189488918772r1470879865.m3u8.mp4,2
40,61357200000000000,61357200000000000,54333200000000000,61357152217863383-54333189488918772r1470880718.m3u8.mp4,3
40,61357200000000000,61357200000000000,54333200000000000,61357152217863383-54333189488918772r1470881242.m3u8.mp4,4
40,61357200000000000,61357200000000000,54333200000000000,61357152217863383-54333189488918772r1470882061.m3u8.mp4,5
40,61357200000000000,61357200000000000,54333200000000000,61357152217863383-54333189488918772r1470882279.m3u8.mp4,6
40,61357200000000000,61357200000000000,54333200000000000,61357152217863383-54333189488918772r1470882683.m3u8.mp4,7
40,61357200000000000,61357200000000000,54333200000000000,61357152217863383-54333189488918772r1470882691.m3u8.mp4,8
40,61357200000000000,61357200000000000,54333200000000000,61357152217863383-54333189488918772r1470882983.m3u8.mp4,9
40,61357200000000000,61357200000000000,54333200000000000,61357152217863383-54333189488918772r1470883164.m3u8.mp4,10
40,61357200000000000,61357200000000000,54333200000000000,61357152217863383-54333189488918772r1470884395.m3u8.mp4,11
40,61357200000000000,61357200000000000,54333200000000000,61357152217863383-54333189488918772r1470884833.m3u8.mp4,12
41,61357800000000000,61357800000000000,53849100000000000,61357796240663770-53849093989999127r1470879711.m3u8.mp4,1
41,61357800000000000,61357800000000000,53849100000000000,61357796240663770-53849093989999127r1470879790.m3u8.mp4,2
41,61357800000000000,61357800000000000,53849100000000000,61357796240663770-53849093989999127r1470880425.m3u8.mp4,3
41,61357800000000000,61357800000000000,53849100000000000,61357796240663770-53849093989999127r1470880484.m3u8.mp4,4
41,61357800000000000,61357800000000000,53849100000000000,61357796240663770-53849093989999127r1470880528.m3u8.mp4,5
41,61357800000000000,61357800000000000,53849100000000000,61357796240663770-53849093989999127r1470880759.m3u8.mp4,6
41,61357800000000000,61357800000000000,53849100000000000,61357796240663770-53849093989999127r1470880840.m3u8.mp4,7
41,61357800000000000,61357800000000000,53849100000000000,61357796240663770-53849093989999127r1470880950.m3u8.mp4,8
42,61358100000000000,61358100000000000,52865300000000000,61358102536000734-52865298207877120r1470879857.m3u8.mp4,1
43,61361000000000000,61361000000000000,53782900000000000,61361035652633419-53782875536890474r1470881256.m3u8.mp4,1
44,61366000000000000,61366000000000000,31045600000000000,61365991449306355-31045571313558736r1470883619.m3u8.mp4,1
45,61367200000000000,61367100000000000,49849800000000000,61367101253753550-49849826646436159r1470884148.m3u8.mp4,1
46,61367800000000000,61367800000000000,52868300000000000,61367767105811129-52868343920602753r1470884466.m3u8.mp4,1
46,61367800000000000,61367800000000000,52868300000000000,61367767105811129-52868343920602753r1470886762.m3u8.mp4,2
46,61367800000000000,61367800000000000,52868300000000000,61367767105811129-52868343920602753r1470887016.m3u8.mp4,3
